season,team1,team2,seasonteam1,seasonteam2,score-diff,team1_score,team1_fgm,team1_fga,team1_fgm3,team1_fga3,team1_ftm,team1_fta,team1_or,team1_dr,team1_ast,team1_to,team1_stl,team1_blk,team1_pf,team2_score,team2_fgm,team2_fga,team2_fgm3,team2_fga3,team2_ftm,team2_fta,team2_or,team2_dr,team2_ast,team2_to,team2_stl,team2_blk,team2_pf,team1_Rank,team1_Wins,team1_Losses,team1_Seed,team1_Pyth,team1_AdjustO,team1_Adjustteam1_O Rank,team1_AdjustD,team1_AdjustD Rank,team1_AdjustT,team1_AdjustT Rank,team1_Luck,team1_Luck Rank,team1_SOS Pyth,team1_SOS Pyth Rank,team1_SOS OppO,team1_SOS OppO Rank,team1_SOS OppD,team1_SOS OppD Rank,team1_NCSOS Pyth,team1_NCSOS Pyth Rank,team2_Rank,team2_Wins,team2_Losses,team2_Seed,team2_Pyth,team2_AdjustO,team2_AdjustO Rank,team2_AdjustD,team2_AdjustD Rank,team2_AdjustT,team2_AdjustT Rank,team2_Luck,team2_Luck Rank,team2_SOS Pyth,team2_SOS Pyth Rank,team2_SOS OppO,team2_SOS OppO Rank,team2_SOS OppD,team2_SOS OppD Rank,team2_NCSOS Pyth,team2_NCSOS Pyth Rank
2016,1112,1114,20161112,20161114,10,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,70,25.03,54.77,19,12.58,17.13,8.71,24.19,12.9,6.29,10.23,3.06,18.26,7.35,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,1112,1122,20161112,20161122,28,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,74.73,25.58,55.67,17.82,17.36,25.91,11.09,24.79,12.88,6.91,14.55,2.76,17.64,6.21,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,242,12,16,0,0.33,101.8,205,108.1,265,70.6,109,0.01,158,0.45,218,104.5,116,106.2,320,0.54,143
2016,1112,1124,20161112,20161124,49,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,76.31,26.81,57.88,16.56,16.5,22.69,13.56,23.22,17.09,7.72,12.81,3.97,19.41,6.19,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,38,18,7,0,0.83,117.4,11,102.2,151,67.4,262,0.05,79,0.67,28,105.2,84,99,4,0.43,266
2016,1112,1138,20161112,20161138,49,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,76.61,25.82,59.45,21.97,17.61,24.82,12.09,26.73,12.55,6.73,13.82,3.48,21.27,7.36,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,148,14,11,0,0.54,102.6,192,101.1,119,73.1,32,0.06,54,0.55,100,106,61,104,194,0.56,108
2016,1112,1139,20161112,20161139,18,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,80.58,28,60.13,18.35,17.48,23.9,11.42,25,14.35,6.77,10.23,3.35,19.9,7.1,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,46,17,8,0,0.81,115.5,17,101.7,136,68.7,188,-0.02,228,0.6,76,104.3,131,100.8,40,0.42,283
2016,1112,1143,20161112,20161143,3,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,75.12,26.27,57,19.15,15.52,23.64,11.33,28.64,12.97,4.12,12.21,4.82,20.67,7.06,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,1112,1151,20161112,20161151,37,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,74.78,25.09,55.69,20.69,17.13,23.38,10.94,24.5,13.97,7.34,12.19,4.75,17.44,7.47,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,80,23,4,0,0.74,106.6,119,97.4,55,67.2,269,0.1,15,0.48,182,104.9,101,105.5,281,0.55,136
2016,1112,1153,20161112,20161153,0,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,73.19,25.72,60.16,21.91,14.19,20.16,13.5,25.88,15.47,7.94,11.06,5.81,15.63,7.56,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,27,19,7,0,0.85,108.1,87,92.8,10,66.6,297,-0.05,289,0.55,109,104.3,129,102.6,112,0.46,228
2016,1112,1160,20161112,20161160,27,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,75.44,25.16,59.72,19.34,17.59,23.88,13.09,29.22,13.47,5.19,13.47,5.03,18.72,7.53,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,63,19,7,0,0.77,106.5,121,96.1,45,69.9,132,0.05,71,0.61,73,106.5,45,102.5,105,0.44,252
2016,1112,1163,20161112,20161163,21,81.21,28.06,58.24,17.03,18.58,25.7,11.64,28.61,14.52,4.91,12.82,4.79,18.21,6.52,73.41,26.47,57.62,19.41,13.44,17.09,9.47,27.06,13.85,5.71,11.12,5.03,18,7.03,14,21,5,0,0.9,115.6,16,95.7,38,69.3,163,-0.01,206,0.59,80,104.9,96,101.6,70,0.39,301,23,18,7,0,0.87,108.5,81,92.1,8,67.3,265,-0.06,311,0.57,92,104.8,107,102.3,98,0.48,216
