Id,Pred
2016_1112_1114,9.63E-01
2016_1112_1122,9.74E-01
2016_1112_1124,6.00E-01
2016_1112_1138,8.15E-01
2016_1112_1139,5.51E-01
2016_1112_1143,6.92E-01
2016_1112_1151,7.30E-01
2016_1112_1153,5.14E-01
2016_1112_1160,5.76E-01
2016_1112_1163,6.28E-01
2016_1112_1167,6.23E-01
2016_1112_1173,6.74E-01
2016_1112_1181,4.31E-01
2016_1112_1192,9.62E-01
2016_1112_1195,8.92E-01
2016_1112_1201,6.91E-01
2016_1112_1211,5.54E-01
2016_1112_1214,8.73E-01
2016_1112_1218,7.63E-01
2016_1112_1221,9.90E-01
2016_1112_1231,4.66E-01
2016_1112_1233,8.24E-01
2016_1112_1234,3.58E-01
2016_1112_1235,3.71E-01
2016_1112_1242,3.08E-01
2016_1112_1246,3.53E-01
2016_1112_1268,5.19E-01
2016_1112_1274,5.14E-01
2016_1112_1276,7.53E-01
2016_1112_1277,2.79E-01
2016_1112_1292,8.21E-01
2016_1112_1314,1.97E-01
2016_1112_1320,9.42E-01
2016_1112_1323,6.97E-01
2016_1112_1328,3.11E-01
2016_1112_1332,4.31E-01
2016_1112_1333,7.34E-01
2016_1112_1338,7.06E-01
2016_1112_1344,6.19E-01
2016_1112_1345,3.94E-01
2016_1112_1355,7.92E-01
2016_1112_1371,6.48E-01
2016_1112_1372,7.53E-01
2016_1112_1380,9.32E-01
2016_1112_1386,4.71E-01
2016_1112_1392,6.59E-01
2016_1112_1393,8.00E-01
2016_1112_1396,7.03E-01
2016_1112_1400,7.19E-01
2016_1112_1401,5.15E-01
2016_1112_1403,7.93E-01
2016_1112_1409,7.83E-01
2016_1112_1421,8.73E-01
2016_1112_1423,6.73E-01
2016_1112_1425,4.27E-01
2016_1112_1428,7.31E-01
2016_1112_1433,5.78E-01
2016_1112_1435,6.57E-01
2016_1112_1437,4.00E-01
2016_1112_1438,6.54E-01
2016_1112_1451,9.62E-01
2016_1112_1452,3.63E-01
2016_1112_1453,6.42E-01
2016_1112_1455,5.98E-01
2016_1112_1458,8.45E-01
2016_1112_1462,2.73E-01
2016_1112_1463,7.76E-01
2016_1114_1122,5.82E-01
2016_1114_1124,5.11E-02
2016_1114_1138,1.38E-01
2016_1114_1139,4.15E-02
2016_1114_1143,7.10E-02
2016_1114_1151,8.97E-02
2016_1114_1153,3.51E-02
2016_1114_1160,4.72E-02
2016_1114_1163,5.54E-02
2016_1114_1167,5.55E-02
2016_1114_1173,7.03E-02
2016_1114_1181,2.70E-02
2016_1114_1192,4.69E-01
2016_1114_1195,2.26E-01
2016_1114_1201,7.34E-02
2016_1114_1211,4.24E-02
2016_1114_1214,1.96E-01
2016_1114_1218,1.00E-01
2016_1114_1221,7.93E-01
2016_1114_1231,3.13E-02
2016_1114_1233,1.39E-01
2016_1114_1234,2.04E-02
2016_1114_1235,2.14E-02
2016_1114_1242,1.64E-02
2016_1114_1246,1.97E-02
2016_1114_1268,3.81E-02
2016_1114_1274,3.81E-02
2016_1114_1276,9.78E-02
2016_1114_1277,1.47E-02
2016_1114_1292,1.42E-01
2016_1114_1314,9.24E-03
2016_1114_1320,3.65E-01
2016_1114_1323,7.53E-02
2016_1114_1328,1.73E-02
2016_1114_1332,2.75E-02
2016_1114_1333,8.72E-02
2016_1114_1338,7.62E-02
2016_1114_1344,5.56E-02
2016_1114_1345,2.25E-02
2016_1114_1355,1.20E-01
2016_1114_1371,6.19E-02
2016_1114_1372,1.00E-01
2016_1114_1380,3.28E-01
2016_1114_1386,3.17E-02
2016_1114_1392,6.34E-02
2016_1114_1393,1.23E-01
2016_1114_1396,7.82E-02
2016_1114_1400,8.33E-02
2016_1114_1401,3.68E-02
2016_1114_1403,1.21E-01
2016_1114_1409,1.11E-01
2016_1114_1421,1.90E-01
2016_1114_1423,6.93E-02
2016_1114_1425,2.70E-02
2016_1114_1428,8.67E-02
2016_1114_1433,4.63E-02
2016_1114_1435,6.32E-02
2016_1114_1437,2.37E-02
2016_1114_1438,6.15E-02
2016_1114_1451,4.86E-01
2016_1114_1452,2.00E-02
2016_1114_1453,6.18E-02
2016_1114_1455,4.86E-02
2016_1114_1458,1.62E-01
2016_1114_1462,1.39E-02
2016_1114_1463,1.12E-01
2016_1122_1124,2.98E-02
2016_1122_1138,8.35E-02
2016_1122_1139,2.46E-02
2016_1122_1143,4.22E-02
2016_1122_1151,5.24E-02
2016_1122_1153,2.13E-02
2016_1122_1160,2.72E-02
2016_1122_1163,3.37E-02
2016_1122_1167,3.25E-02
2016_1122_1173,4.08E-02
2016_1122_1181,1.59E-02
2016_1122_1192,3.35E-01
2016_1122_1195,1.44E-01
2016_1122_1201,4.23E-02
2016_1122_1211,2.45E-02
2016_1122_1214,1.22E-01
2016_1122_1218,6.16E-02
2016_1122_1221,6.84E-01
2016_1122_1231,1.77E-02
2016_1122_1233,8.76E-02
2016_1122_1234,1.23E-02
2016_1122_1235,1.25E-02
2016_1122_1242,9.73E-03
2016_1122_1246,1.16E-02
2016_1122_1268,2.23E-02
2016_1122_1274,2.22E-02
2016_1122_1276,5.97E-02
2016_1122_1277,8.47E-03
2016_1122_1292,8.56E-02
2016_1122_1314,5.36E-03
2016_1122_1320,2.49E-01
2016_1122_1323,4.43E-02
2016_1122_1328,1.01E-02
2016_1122_1332,1.58E-02
2016_1122_1333,5.27E-02
2016_1122_1338,4.54E-02
2016_1122_1344,3.24E-02
2016_1122_1345,1.34E-02
2016_1122_1355,7.13E-02
2016_1122_1371,3.59E-02
2016_1122_1372,5.94E-02
2016_1122_1380,2.13E-01
2016_1122_1386,1.90E-02
2016_1122_1392,3.71E-02
2016_1122_1393,7.29E-02
2016_1122_1396,4.66E-02
2016_1122_1400,4.87E-02
2016_1122_1401,2.15E-02
2016_1122_1403,7.11E-02
2016_1122_1409,6.77E-02
2016_1122_1421,1.18E-01
2016_1122_1423,4.01E-02
2016_1122_1425,1.58E-02
2016_1122_1428,5.19E-02
2016_1122_1433,2.65E-02
2016_1122_1435,3.76E-02
2016_1122_1437,1.40E-02
2016_1122_1438,3.62E-02
2016_1122_1451,3.43E-01
2016_1122_1452,1.17E-02
2016_1122_1453,3.52E-02
2016_1122_1455,2.92E-02
2016_1122_1458,9.89E-02
2016_1122_1462,8.29E-03
2016_1122_1463,6.62E-02
2016_1124_1138,7.82E-01
2016_1124_1139,4.97E-01
2016_1124_1143,6.35E-01
2016_1124_1151,6.90E-01
2016_1124_1153,4.56E-01
2016_1124_1160,5.26E-01
2016_1124_1163,5.79E-01
2016_1124_1167,5.60E-01
2016_1124_1173,6.26E-01
2016_1124_1181,3.77E-01
2016_1124_1192,9.53E-01
2016_1124_1195,8.72E-01
2016_1124_1201,6.34E-01
2016_1124_1211,4.98E-01
2016_1124_1214,8.46E-01
2016_1124_1218,7.23E-01
2016_1124_1221,9.88E-01
2016_1124_1231,4.10E-01
2016_1124_1233,7.93E-01
2016_1124_1234,3.11E-01
2016_1124_1235,3.24E-01
2016_1124_1242,2.67E-01
2016_1124_1246,3.11E-01
2016_1124_1268,4.66E-01
2016_1124_1274,4.67E-01
2016_1124_1276,7.10E-01
2016_1124_1277,2.42E-01
2016_1124_1292,7.91E-01
2016_1124_1314,1.59E-01
2016_1124_1320,9.30E-01
2016_1124_1323,6.46E-01
2016_1124_1328,2.67E-01
2016_1124_1332,3.82E-01
2016_1124_1333,6.84E-01
2016_1124_1338,6.50E-01
2016_1124_1344,5.60E-01
2016_1124_1345,3.37E-01
2016_1124_1355,7.57E-01
2016_1124_1371,6.03E-01
2016_1124_1372,7.08E-01
2016_1124_1380,9.15E-01
2016_1124_1386,4.16E-01
2016_1124_1392,6.06E-01
2016_1124_1393,7.62E-01
2016_1124_1396,6.57E-01
2016_1124_1400,6.67E-01
2016_1124_1401,4.55E-01
2016_1124_1403,7.60E-01
2016_1124_1409,7.45E-01
2016_1124_1421,8.42E-01
2016_1124_1423,6.22E-01
2016_1124_1425,3.73E-01
2016_1124_1428,6.86E-01
2016_1124_1433,5.18E-01
2016_1124_1435,5.99E-01
2016_1124_1437,3.45E-01
2016_1124_1438,5.94E-01
2016_1124_1451,9.55E-01
2016_1124_1452,3.11E-01
2016_1124_1453,5.93E-01
2016_1124_1455,5.34E-01
2016_1124_1458,8.12E-01
2016_1124_1462,2.39E-01
2016_1124_1463,7.39E-01
2016_1138_1139,1.92E-01
2016_1138_1143,3.00E-01
2016_1138_1151,3.47E-01
2016_1138_1153,1.71E-01
2016_1138_1160,2.07E-01
2016_1138_1163,2.51E-01
2016_1138_1167,2.44E-01
2016_1138_1173,2.93E-01
2016_1138_1181,1.29E-01
2016_1138_1192,8.35E-01
2016_1138_1195,6.17E-01
2016_1138_1201,3.06E-01
2016_1138_1211,1.96E-01
2016_1138_1214,5.83E-01
2016_1138_1218,3.85E-01
2016_1138_1221,9.55E-01
2016_1138_1231,1.45E-01
2016_1138_1233,4.81E-01
2016_1138_1234,1.02E-01
2016_1138_1235,1.08E-01
