Id,Pred
2016_1112_1114,9.22E-01
2016_1112_1122,9.51E-01
2016_1112_1124,4.24E-01
2016_1112_1138,6.63E-01
2016_1112_1139,7.19E-01
2016_1112_1143,5.84E-01
2016_1112_1151,6.28E-01
2016_1112_1153,6.22E-01
2016_1112_1160,8.03E-01
2016_1112_1163,6.51E-01
2016_1112_1167,5.06E-01
2016_1112_1173,4.91E-01
2016_1112_1181,3.90E-01
2016_1112_1192,9.55E-01
2016_1112_1195,9.39E-01
2016_1112_1201,8.08E-01
2016_1112_1211,5.58E-01
2016_1112_1214,9.30E-01
2016_1112_1218,8.28E-01
2016_1112_1221,9.52E-01
2016_1112_1231,4.46E-01
2016_1112_1233,9.30E-01
2016_1112_1234,4.95E-01
2016_1112_1235,5.15E-01
2016_1112_1242,2.88E-01
2016_1112_1246,4.60E-01
2016_1112_1268,4.85E-01
2016_1112_1274,3.34E-01
2016_1112_1276,5.54E-01
2016_1112_1277,3.92E-01
2016_1112_1292,6.80E-01
2016_1112_1314,4.23E-01
2016_1112_1320,8.12E-01
2016_1112_1323,6.78E-01
2016_1112_1328,3.68E-01
2016_1112_1332,3.98E-01
2016_1112_1333,5.32E-01
2016_1112_1338,5.21E-01
2016_1112_1344,8.14E-01
2016_1112_1345,4.32E-01
2016_1112_1355,7.20E-01
2016_1112_1371,6.16E-01
2016_1112_1372,7.26E-01
2016_1112_1380,9.16E-01
2016_1112_1386,4.74E-01
2016_1112_1392,6.64E-01
2016_1112_1393,6.18E-01
2016_1112_1396,8.73E-01
2016_1112_1400,6.37E-01
2016_1112_1401,5.06E-01
2016_1112_1403,5.33E-01
2016_1112_1409,8.53E-01
2016_1112_1421,8.80E-01
2016_1112_1423,8.53E-01
2016_1112_1425,5.93E-01
2016_1112_1428,6.51E-01
2016_1112_1433,6.80E-01
2016_1112_1435,5.46E-01
2016_1112_1437,3.28E-01
2016_1112_1438,4.52E-01
2016_1112_1451,8.32E-01
2016_1112_1452,4.21E-01
2016_1112_1453,7.63E-01
2016_1112_1455,6.27E-01
2016_1112_1458,8.30E-01
2016_1112_1462,3.19E-01
2016_1112_1463,5.96E-01
2016_1114_1122,6.51E-01
2016_1114_1124,1.91E-01
2016_1114_1138,2.82E-01
2016_1114_1139,1.77E-01
2016_1114_1143,2.69E-01
2016_1114_1151,2.19E-01
2016_1114_1153,3.11E-01
2016_1114_1160,1.96E-01
2016_1114_1163,3.27E-01
2016_1114_1167,2.48E-01
2016_1114_1173,1.19E-01
2016_1114_1181,7.11E-02
2016_1114_1192,6.40E-01
2016_1114_1195,4.38E-01
2016_1114_1201,2.60E-01
2016_1114_1211,8.09E-02
2016_1114_1214,5.83E-01
2016_1114_1218,2.40E-01
2016_1114_1221,8.94E-01
2016_1114_1231,1.05E-01
2016_1114_1233,5.31E-01
2016_1114_1234,9.21E-02
2016_1114_1235,1.02E-01
2016_1114_1242,7.58E-02
2016_1114_1246,1.19E-01
2016_1114_1268,1.55E-01
2016_1114_1274,8.39E-02
2016_1114_1276,2.42E-01
2016_1114_1277,5.00E-02
2016_1114_1292,2.33E-01
2016_1114_1314,6.35E-02
2016_1114_1320,4.90E-01
2016_1114_1323,8.44E-02
2016_1114_1328,1.47E-01
2016_1114_1332,7.21E-02
2016_1114_1333,1.22E-01
2016_1114_1338,1.53E-01
2016_1114_1344,2.82E-01
2016_1114_1345,1.08E-01
2016_1114_1355,1.45E-01
2016_1114_1371,1.27E-01
2016_1114_1372,3.03E-01
2016_1114_1380,5.08E-01
2016_1114_1386,9.38E-02
2016_1114_1392,1.07E-01
2016_1114_1393,1.58E-01
2016_1114_1396,2.68E-01
2016_1114_1400,1.76E-01
2016_1114_1401,1.22E-01
2016_1114_1403,1.04E-01
2016_1114_1409,3.62E-01
2016_1114_1421,4.83E-01
2016_1114_1423,2.70E-01
2016_1114_1425,1.07E-01
2016_1114_1428,1.21E-01
2016_1114_1433,1.38E-01
2016_1114_1435,1.26E-01
2016_1114_1437,4.70E-02
2016_1114_1438,7.17E-02
2016_1114_1451,4.39E-01
2016_1114_1452,1.39E-01
2016_1114_1453,3.45E-01
2016_1114_1455,2.89E-01
2016_1114_1458,1.76E-01
2016_1114_1462,1.32E-01
2016_1114_1463,1.18E-01
2016_1122_1124,1.68E-01
2016_1122_1138,1.30E-01
2016_1122_1139,5.74E-02
2016_1122_1143,1.89E-01
2016_1122_1151,5.03E-02
2016_1122_1153,6.48E-02
2016_1122_1160,6.61E-02
2016_1122_1163,7.58E-02
2016_1122_1167,1.09E-01
2016_1122_1173,1.04E-01
2016_1122_1181,4.89E-02
2016_1122_1192,5.06E-01
2016_1122_1195,3.28E-01
2016_1122_1201,2.26E-01
2016_1122_1211,1.01E-01
2016_1122_1214,4.32E-01
2016_1122_1218,1.17E-01
2016_1122_1221,7.07E-01
2016_1122_1231,1.18E-01
2016_1122_1233,3.00E-01
2016_1122_1234,7.24E-02
2016_1122_1235,9.26E-02
2016_1122_1242,3.05E-02
2016_1122_1246,6.09E-02
2016_1122_1268,6.53E-02
2016_1122_1274,3.41E-02
2016_1122_1276,1.03E-01
2016_1122_1277,5.11E-02
2016_1122_1292,2.33E-01
2016_1122_1314,3.96E-02
2016_1122_1320,2.00E-01
2016_1122_1323,6.22E-02
2016_1122_1328,4.81E-02
2016_1122_1332,4.23E-02
2016_1122_1333,1.84E-01
2016_1122_1338,5.50E-02
2016_1122_1344,8.99E-02
2016_1122_1345,3.79E-02
2016_1122_1355,2.22E-01
2016_1122_1371,2.42E-01
2016_1122_1372,1.12E-01
2016_1122_1380,4.03E-01
2016_1122_1386,6.96E-02
2016_1122_1392,1.29E-01
2016_1122_1393,1.12E-01
2016_1122_1396,1.83E-01
2016_1122_1400,7.95E-02
2016_1122_1401,5.65E-02
2016_1122_1403,2.17E-01
2016_1122_1409,8.57E-02
2016_1122_1421,3.47E-01
2016_1122_1423,1.25E-01
2016_1122_1425,6.71E-02
2016_1122_1428,6.62E-02
2016_1122_1433,2.49E-01
2016_1122_1435,7.12E-02
2016_1122_1437,3.37E-02
2016_1122_1438,4.93E-02
2016_1122_1451,4.53E-01
2016_1122_1452,1.20E-01
2016_1122_1453,2.73E-01
2016_1122_1455,6.56E-02
2016_1122_1458,9.43E-02
2016_1122_1462,3.24E-02
2016_1122_1463,1.19E-01
2016_1124_1138,7.46E-01
2016_1124_1139,4.97E-01
2016_1124_1143,5.97E-01
2016_1124_1151,6.35E-01
2016_1124_1153,4.65E-01
2016_1124_1160,6.37E-01
2016_1124_1163,6.72E-01
2016_1124_1167,5.80E-01
2016_1124_1173,5.80E-01
2016_1124_1181,2.57E-01
2016_1124_1192,9.62E-01
2016_1124_1195,8.34E-01
2016_1124_1201,6.64E-01
2016_1124_1211,3.31E-01
2016_1124_1214,9.05E-01
2016_1124_1218,6.98E-01
2016_1124_1221,9.60E-01
2016_1124_1231,3.84E-01
2016_1124_1233,8.18E-01
2016_1124_1234,4.98E-01
2016_1124_1235,3.14E-01
2016_1124_1242,1.39E-01
2016_1124_1246,3.61E-01
2016_1124_1268,3.86E-01
2016_1124_1274,2.54E-01
2016_1124_1276,6.04E-01
2016_1124_1277,1.67E-01
2016_1124_1292,9.05E-01
2016_1124_1314,5.11E-01
2016_1124_1320,8.28E-01
2016_1124_1323,5.51E-01
2016_1124_1328,4.34E-01
2016_1124_1332,2.76E-01
2016_1124_1333,7.97E-01
2016_1124_1338,5.90E-01
2016_1124_1344,6.04E-01
2016_1124_1345,3.17E-01
2016_1124_1355,7.78E-01
2016_1124_1371,6.49E-01
2016_1124_1372,6.65E-01
2016_1124_1380,9.45E-01
2016_1124_1386,5.63E-01
2016_1124_1392,6.43E-01
2016_1124_1393,6.68E-01
2016_1124_1396,8.86E-01
2016_1124_1400,6.22E-01
2016_1124_1401,3.17E-01
2016_1124_1403,6.17E-01
2016_1124_1409,7.17E-01
2016_1124_1421,7.68E-01
2016_1124_1423,7.32E-01
2016_1124_1425,6.50E-01
2016_1124_1428,4.38E-01
2016_1124_1433,6.55E-01
2016_1124_1435,7.11E-01
2016_1124_1437,2.69E-01
2016_1124_1438,4.52E-01
2016_1124_1451,8.60E-01
2016_1124_1452,3.20E-01
2016_1124_1453,8.70E-01
2016_1124_1455,6.93E-01
2016_1124_1458,7.09E-01
2016_1124_1462,3.91E-01
2016_1124_1463,6.78E-01
2016_1138_1139,1.58E-01
2016_1138_1143,3.02E-01
2016_1138_1151,3.15E-01
2016_1138_1153,2.35E-01
2016_1138_1160,3.82E-01
2016_1138_1163,2.40E-01
2016_1138_1167,3.38E-01
2016_1138_1173,1.26E-01
2016_1138_1181,1.06E-01
