Id,Pred
2016_1112_1114,8.03E-01
2016_1112_1122,1.00E+00
2016_1112_1124,9.75E-01
2016_1112_1138,9.99E-01
2016_1112_1139,7.16E-01
2016_1112_1143,4.65E-01
2016_1112_1151,9.87E-01
2016_1112_1153,5.75E-01
2016_1112_1160,9.62E-01
2016_1112_1163,4.55E-01
2016_1112_1167,3.94E-01
2016_1112_1173,9.81E-01
2016_1112_1181,2.92E-01
2016_1112_1192,9.98E-01
2016_1112_1195,9.80E-01
2016_1112_1201,8.58E-01
2016_1112_1211,4.89E-01
2016_1112_1214,1.00E+00
2016_1112_1218,7.85E-01
2016_1112_1221,9.99E-01
2016_1112_1231,3.62E-01
2016_1112_1233,9.56E-01
2016_1112_1234,1.55E-01
2016_1112_1235,1.78E-01
2016_1112_1242,3.26E-01
2016_1112_1246,1.94E-01
2016_1112_1268,3.95E-01
2016_1112_1274,4.38E-01
2016_1112_1276,9.78E-01
2016_1112_1277,6.18E-02
2016_1112_1292,9.98E-01
2016_1112_1314,5.05E-01
2016_1112_1320,9.79E-01
2016_1112_1323,5.29E-01
2016_1112_1328,4.32E-01
2016_1112_1332,7.38E-01
2016_1112_1333,3.96E-01
2016_1112_1338,5.10E-01
2016_1112_1344,8.99E-01
2016_1112_1345,4.92E-01
2016_1112_1355,9.26E-01
2016_1112_1371,8.54E-01
2016_1112_1372,9.90E-01
2016_1112_1380,8.12E-01
2016_1112_1386,8.97E-01
2016_1112_1392,6.58E-01
2016_1112_1393,5.94E-01
2016_1112_1396,9.95E-01
2016_1112_1400,6.09E-01
2016_1112_1401,5.14E-01
2016_1112_1403,9.53E-01
2016_1112_1409,7.32E-01
2016_1112_1421,8.59E-01
2016_1112_1423,7.91E-01
2016_1112_1425,7.54E-01
2016_1112_1428,3.57E-01
2016_1112_1433,4.94E-01
2016_1112_1435,4.43E-01
2016_1112_1437,2.36E-01
2016_1112_1438,4.83E-01
2016_1112_1451,9.82E-01
2016_1112_1452,3.51E-01
2016_1112_1453,9.97E-01
2016_1112_1455,5.54E-01
2016_1112_1458,6.65E-01
2016_1112_1462,7.90E-01
2016_1112_1463,9.53E-01
2016_1114_1122,8.37E-01
2016_1114_1124,1.53E-02
2016_1114_1138,2.94E-01
2016_1114_1139,8.47E-03
2016_1114_1143,1.99E-01
2016_1114_1151,2.33E-01
2016_1114_1153,9.90E-04
2016_1114_1160,2.29E-01
2016_1114_1163,2.37E-03
2016_1114_1167,2.20E-01
2016_1114_1173,1.30E-01
2016_1114_1181,1.11E-02
2016_1114_1192,9.91E-01
2016_1114_1195,2.55E-01
2016_1114_1201,2.80E-01
2016_1114_1211,1.24E-02
2016_1114_1214,9.31E-01
2016_1114_1218,2.27E-02
2016_1114_1221,9.77E-01
2016_1114_1231,2.59E-01
2016_1114_1233,4.49E-02
2016_1114_1234,2.05E-04
2016_1114_1235,4.50E-04
2016_1114_1242,3.67E-04
2016_1114_1246,1.38E-04
2016_1114_1268,2.48E-01
2016_1114_1274,6.97E-02
2016_1114_1276,1.00E-01
2016_1114_1277,2.21E-03
2016_1114_1292,2.56E-01
2016_1114_1314,2.71E-02
2016_1114_1320,9.97E-02
2016_1114_1323,9.39E-03
2016_1114_1328,2.10E-01
2016_1114_1332,4.01E-02
2016_1114_1333,1.07E-01
2016_1114_1338,4.75E-02
2016_1114_1344,3.21E-01
2016_1114_1345,1.88E-04
2016_1114_1355,1.18E-01
2016_1114_1371,1.78E-02
2016_1114_1372,3.94E-01
2016_1114_1380,3.43E-01
2016_1114_1386,1.09E-02
2016_1114_1392,3.04E-02
2016_1114_1393,1.51E-01
2016_1114_1396,2.46E-01
2016_1114_1400,1.83E-01
2016_1114_1401,1.80E-01
2016_1114_1403,5.27E-02
2016_1114_1409,2.85E-02
2016_1114_1421,5.53E-02
2016_1114_1423,2.63E-01
2016_1114_1425,4.84E-02
2016_1114_1428,1.11E-03
2016_1114_1433,6.53E-02
2016_1114_1435,9.02E-04
2016_1114_1437,2.41E-02
2016_1114_1438,1.10E-03
2016_1114_1451,3.42E-01
2016_1114_1452,3.25E-03
2016_1114_1453,3.52E-01
2016_1114_1455,4.85E-04
2016_1114_1458,1.43E-01
2016_1114_1462,4.82E-03
2016_1114_1463,1.40E-01
2016_1122_1124,5.68E-04
2016_1122_1138,7.08E-02
2016_1122_1139,6.54E-04
2016_1122_1143,5.66E-03
2016_1122_1151,7.31E-03
2016_1122_1153,2.96E-02
2016_1122_1160,2.80E-03
2016_1122_1163,1.85E-02
2016_1122_1167,5.15E-02
2016_1122_1173,2.14E-03
2016_1122_1181,5.91E-03
2016_1122_1192,9.29E-01
2016_1122_1195,3.63E-01
2016_1122_1201,1.53E-02
2016_1122_1211,4.90E-05
2016_1122_1214,6.37E-01
2016_1122_1218,1.35E-01
2016_1122_1221,9.84E-01
2016_1122_1231,3.26E-05
2016_1122_1233,4.88E-01
2016_1122_1234,6.21E-02
2016_1122_1235,3.25E-05
2016_1122_1242,1.10E-04
2016_1122_1246,1.71E-05
2016_1122_1268,3.62E-02
2016_1122_1274,9.15E-04
2016_1122_1276,4.94E-02
2016_1122_1277,4.03E-06
2016_1122_1292,3.17E-02
2016_1122_1314,7.96E-05
2016_1122_1320,6.91E-03
2016_1122_1323,3.19E-04
2016_1122_1328,7.27E-03
2016_1122_1332,1.62E-04
2016_1122_1333,1.10E-01
2016_1122_1338,2.28E-03
2016_1122_1344,3.33E-02
2016_1122_1345,3.51E-04
2016_1122_1355,4.48E-03
2016_1122_1371,3.96E-04
2016_1122_1372,1.09E-01
2016_1122_1380,4.61E-01
2016_1122_1386,3.03E-02
2016_1122_1392,9.75E-04
2016_1122_1393,1.03E-03
2016_1122_1396,8.33E-02
2016_1122_1400,1.54E-03
2016_1122_1401,1.65E-02
2016_1122_1403,1.12E-03
2016_1122_1409,7.05E-03
2016_1122_1421,7.19E-03
2016_1122_1423,1.27E-02
2016_1122_1425,9.31E-03
2016_1122_1428,1.06E-03
2016_1122_1433,3.14E-04
2016_1122_1435,3.60E-04
2016_1122_1437,1.17E-03
2016_1122_1438,3.69E-05
2016_1122_1451,1.11E-02
2016_1122_1452,8.82E-05
2016_1122_1453,3.77E-02
2016_1122_1455,7.81E-04
2016_1122_1458,2.84E-03
2016_1122_1462,3.03E-04
2016_1122_1463,9.26E-04
2016_1124_1138,9.88E-01
2016_1124_1139,4.40E-01
2016_1124_1143,8.85E-01
2016_1124_1151,7.40E-01
2016_1124_1153,3.70E-01
2016_1124_1160,6.05E-01
2016_1124_1163,5.96E-01
2016_1124_1167,8.01E-01
2016_1124_1173,7.51E-01
2016_1124_1181,5.41E-02
2016_1124_1192,1.00E+00
2016_1124_1195,8.17E-01
2016_1124_1201,9.73E-01
2016_1124_1211,1.58E-01
2016_1124_1214,1.00E+00
2016_1124_1218,6.84E-01
2016_1124_1221,1.00E+00
2016_1124_1231,5.39E-02
2016_1124_1233,7.98E-01
2016_1124_1234,1.20E-02
2016_1124_1235,1.04E-01
2016_1124_1242,4.00E-02
2016_1124_1246,3.27E-01
2016_1124_1268,2.06E-01
2016_1124_1274,1.12E-01
2016_1124_1276,7.48E-01
2016_1124_1277,2.37E-02
2016_1124_1292,9.58E-01
2016_1124_1314,3.98E-03
2016_1124_1320,8.04E-01
2016_1124_1323,1.72E-01
2016_1124_1328,5.54E-02
2016_1124_1332,2.38E-01
2016_1124_1333,7.72E-01
2016_1124_1338,6.62E-01
2016_1124_1344,8.91E-01
2016_1124_1345,2.86E-02
2016_1124_1355,6.23E-01
2016_1124_1371,4.93E-01
2016_1124_1372,8.60E-01
