Id,Pred
2016_1112_1114,9.84E-01
2016_1112_1122,9.84E-01
2016_1112_1124,8.85E-01
2016_1112_1138,9.46E-01
2016_1112_1139,8.29E-01
2016_1112_1143,9.51E-01
2016_1112_1151,9.77E-01
2016_1112_1153,6.00E-01
2016_1112_1160,9.47E-01
2016_1112_1163,6.04E-01
2016_1112_1167,9.04E-01
2016_1112_1173,9.36E-01
2016_1112_1181,3.20E-01
2016_1112_1192,9.83E-01
2016_1112_1195,9.02E-01
2016_1112_1201,8.58E-01
2016_1112_1211,5.83E-01
2016_1112_1214,9.59E-01
2016_1112_1218,9.82E-01
2016_1112_1221,9.85E-01
2016_1112_1231,5.47E-01
2016_1112_1233,9.66E-01
2016_1112_1234,1.31E-01
2016_1112_1235,1.52E-01
2016_1112_1242,2.28E-01
2016_1112_1246,7.67E-02
2016_1112_1268,8.90E-01
2016_1112_1274,5.39E-01
2016_1112_1276,9.58E-01
2016_1112_1277,7.97E-02
2016_1112_1292,9.72E-01
2016_1112_1314,1.55E-01
2016_1112_1320,9.83E-01
2016_1112_1323,9.06E-01
2016_1112_1328,1.76E-01
2016_1112_1332,5.08E-01
2016_1112_1333,8.97E-01
2016_1112_1338,8.95E-01
2016_1112_1344,9.60E-01
2016_1112_1345,3.79E-01
2016_1112_1355,9.80E-01
2016_1112_1371,8.93E-01
2016_1112_1372,9.69E-01
2016_1112_1380,9.84E-01
2016_1112_1386,6.07E-01
2016_1112_1392,8.53E-01
2016_1112_1393,9.48E-01
2016_1112_1396,9.69E-01
2016_1112_1400,9.34E-01
2016_1112_1401,5.82E-01
2016_1112_1403,9.52E-01
2016_1112_1409,9.72E-01
2016_1112_1421,9.83E-01
2016_1112_1423,9.64E-01
2016_1112_1425,4.14E-01
2016_1112_1428,8.87E-01
2016_1112_1433,5.41E-01
2016_1112_1435,5.68E-01
2016_1112_1437,4.22E-01
2016_1112_1438,7.45E-01
2016_1112_1451,9.84E-01
2016_1112_1452,2.24E-01
2016_1112_1453,6.14E-01
2016_1112_1455,5.19E-01
2016_1112_1458,9.61E-01
2016_1112_1462,4.24E-01
2016_1112_1463,9.37E-01
2016_1114_1122,7.94E-01
2016_1114_1124,2.21E-02
2016_1114_1138,5.12E-02
2016_1114_1139,1.79E-02
2016_1114_1143,3.60E-02
2016_1114_1151,7.81E-02
2016_1114_1153,1.83E-02
2016_1114_1160,1.73E-02
2016_1114_1163,1.87E-02
2016_1114_1167,5.90E-02
2016_1114_1173,5.73E-02
2016_1114_1181,1.74E-02
2016_1114_1192,9.48E-01
2016_1114_1195,4.28E-02
2016_1114_1201,1.65E-02
2016_1114_1211,1.76E-02
2016_1114_1214,3.19E-01
2016_1114_1218,2.73E-02
2016_1114_1221,9.77E-01
2016_1114_1231,1.69E-02
2016_1114_1233,2.15E-02
2016_1114_1234,1.64E-02
2016_1114_1235,1.63E-02
2016_1114_1242,1.62E-02
2016_1114_1246,1.78E-02
2016_1114_1268,7.06E-02
2016_1114_1274,2.20E-02
2016_1114_1276,3.80E-02
2016_1114_1277,1.57E-02
2016_1114_1292,2.87E-02
2016_1114_1314,1.58E-02
2016_1114_1320,8.19E-01
2016_1114_1323,1.93E-02
2016_1114_1328,1.67E-02
2016_1114_1332,1.67E-02
2016_1114_1333,4.79E-02
2016_1114_1338,1.89E-02
2016_1114_1344,4.33E-02
2016_1114_1345,1.58E-02
2016_1114_1355,3.47E-02
2016_1114_1371,1.96E-02
2016_1114_1372,6.25E-02
2016_1114_1380,2.96E-01
2016_1114_1386,1.60E-02
2016_1114_1392,1.64E-02
2016_1114_1393,2.16E-01
2016_1114_1396,2.45E-02
2016_1114_1400,1.20E-01
2016_1114_1401,1.77E-02
2016_1114_1403,2.80E-01
