Id,Pred
2016_1112_1114,9.67E-01
2016_1112_1122,9.54E-01
2016_1112_1124,4.68E-01
2016_1112_1138,6.93E-01
2016_1112_1139,3.32E-01
2016_1112_1143,6.99E-01
2016_1112_1151,7.95E-01
2016_1112_1153,5.21E-01
2016_1112_1160,7.52E-01
2016_1112_1163,5.43E-01
2016_1112_1167,8.12E-01
2016_1112_1173,5.68E-01
2016_1112_1181,2.80E-01
2016_1112_1192,9.93E-01
2016_1112_1195,9.24E-01
2016_1112_1201,6.89E-01
2016_1112_1211,6.91E-01
2016_1112_1214,7.47E-01
2016_1112_1218,8.14E-01
2016_1112_1221,9.46E-01
2016_1112_1231,3.56E-01
2016_1112_1233,9.69E-01
2016_1112_1234,2.61E-01
2016_1112_1235,6.00E-01
2016_1112_1242,3.82E-01
2016_1112_1246,3.70E-01
2016_1112_1268,7.27E-01
2016_1112_1274,4.71E-01
2016_1112_1276,7.89E-01
2016_1112_1277,4.65E-01
2016_1112_1292,8.27E-01
2016_1112_1314,3.41E-01
2016_1112_1320,6.13E-01
2016_1112_1323,5.42E-01
2016_1112_1328,4.18E-01
2016_1112_1332,4.38E-01
2016_1112_1333,5.53E-01
2016_1112_1338,5.63E-01
2016_1112_1344,5.46E-01
2016_1112_1345,4.92E-01
2016_1112_1355,6.52E-01
2016_1112_1371,6.71E-01
2016_1112_1372,9.53E-01
2016_1112_1380,9.41E-01
2016_1112_1386,7.35E-01
2016_1112_1392,9.49E-01
2016_1112_1393,7.86E-01
2016_1112_1396,5.82E-01
2016_1112_1400,7.06E-01
2016_1112_1401,4.09E-01
2016_1112_1403,7.29E-01
2016_1112_1409,6.61E-01
2016_1112_1421,9.24E-01
2016_1112_1423,5.86E-01
2016_1112_1425,3.57E-01
2016_1112_1428,6.65E-01
2016_1112_1433,6.47E-01
2016_1112_1435,6.19E-01
2016_1112_1437,4.31E-01
2016_1112_1438,4.65E-01
2016_1112_1451,7.96E-01
2016_1112_1452,4.09E-01
2016_1112_1453,5.57E-01
2016_1112_1455,7.02E-01
2016_1112_1458,6.70E-01
2016_1112_1462,2.48E-01
2016_1112_1463,8.68E-01
2016_1114_1122,5.40E-01
2016_1114_1124,1.93E-01
2016_1114_1138,2.30E-01
2016_1114_1139,1.96E-01
2016_1114_1143,6.11E-01
2016_1114_1151,7.26E-02
2016_1114_1153,2.43E-01
2016_1114_1160,1.35E-01
2016_1114_1163,2.46E-01
2016_1114_1167,3.80E-01
2016_1114_1173,7.96E-02
2016_1114_1181,5.98E-02
2016_1114_1192,6.64E-01
2016_1114_1195,4.10E-01
2016_1114_1201,1.35E-01
2016_1114_1211,1.00E-01
2016_1114_1214,3.20E-01
2016_1114_1218,3.44E-01
2016_1114_1221,5.27E-01
2016_1114_1231,1.54E-01
2016_1114_1233,6.18E-01
2016_1114_1234,8.66E-02
2016_1114_1235,1.10E-01
2016_1114_1242,5.34E-02
2016_1114_1246,6.73E-02
2016_1114_1268,9.42E-02
2016_1114_1274,5.57E-02
2016_1114_1276,1.16E-01
2016_1114_1277,1.49E-01
2016_1114_1292,2.58E-01
2016_1114_1314,2.50E-02
2016_1114_1320,1.60E-01
2016_1114_1323,7.55E-02
2016_1114_1328,4.64E-02
2016_1114_1332,4.63E-02
2016_1114_1333,1.82E-01
2016_1114_1338,2.15E-01
2016_1114_1344,1.92E-01
2016_1114_1345,1.21E-01
2016_1114_1355,1.60E-01
2016_1114_1371,3.53E-01
2016_1114_1372,1.47E-01
2016_1114_1380,5.09E-01
2016_1114_1386,6.48E-02
2016_1114_1392,1.31E-01
2016_1114_1393,2.82E-01
2016_1114_1396,8.13E-02
2016_1114_1400,5.36E-02
2016_1114_1401,1.06E-01
2016_1114_1403,2.13E-01
2016_1114_1409,2.27E-01
2016_1114_1421,4.01E-01
2016_1114_1423,2.46E-01
2016_1114_1425,4.51E-02
2016_1114_1428,5.69E-01
2016_1114_1433,1.49E-01
2016_1114_1435,1.13E-01
2016_1114_1437,3.57E-02
2016_1114_1438,1.70E-01
2016_1114_1451,7.19E-01
2016_1114_1452,7.75E-02
2016_1114_1453,1.95E-01
2016_1114_1455,5.52E-02
2016_1114_1458,3.30E-01
2016_1114_1462,3.53E-02
2016_1114_1463,3.09E-01
2016_1122_1124,1.10E-02
2016_1122_1138,3.01E-02
2016_1122_1139,1.45E-02
2016_1122_1143,7.73E-02
2016_1122_1151,4.13E-02
2016_1122_1153,1.25E-02
2016_1122_1160,1.12E-02
2016_1122_1163,4.50E-02
2016_1122_1167,1.10E-01
2016_1122_1173,6.83E-02
2016_1122_1181,9.51E-03
2016_1122_1192,6.15E-01
2016_1122_1195,1.17E-01
2016_1122_1201,3.47E-02
2016_1122_1211,8.86E-02
2016_1122_1214,1.68E-01
2016_1122_1218,4.83E-02
2016_1122_1221,5.23E-01
2016_1122_1231,1.32E-02
2016_1122_1233,8.30E-02
2016_1122_1234,5.23E-03
2016_1122_1235,2.42E-02
2016_1122_1242,7.51E-03
2016_1122_1246,6.65E-03
2016_1122_1268,6.76E-02
2016_1122_1274,4.39E-02
2016_1122_1276,1.26E-01
2016_1122_1277,5.80E-03
2016_1122_1292,6.71E-02
2016_1122_1314,2.54E-03
2016_1122_1320,2.76E-01
2016_1122_1323,7.25E-02
2016_1122_1328,6.95E-03
2016_1122_1332,9.72E-03
2016_1122_1333,5.21E-02
2016_1122_1338,3.36E-02
2016_1122_1344,1.27E-02
2016_1122_1345,7.13E-03
2016_1122_1355,9.96E-02
2016_1122_1371,1.90E-02
2016_1122_1372,6.32E-02
2016_1122_1380,1.61E-01
2016_1122_1386,2.21E-02
2016_1122_1392,7.54E-02
2016_1122_1393,7.68E-02
2016_1122_1396,4.13E-02
2016_1122_1400,7.54E-02
2016_1122_1401,7.23E-03
2016_1122_1403,8.15E-02
2016_1122_1409,5.35E-02
2016_1122_1421,1.15E-01
2016_1122_1423,7.97E-02
2016_1122_1425,1.09E-02
2016_1122_1428,9.13E-02
2016_1122_1433,1.53E-02
2016_1122_1435,2.09E-02
2016_1122_1437,2.07E-02
2016_1122_1438,1.32E-01
2016_1122_1451,2.51E-01
2016_1122_1452,1.55E-02
2016_1122_1453,2.99E-02
2016_1122_1455,3.00E-02
2016_1122_1458,1.01E-01
2016_1122_1462,5.24E-03
2016_1122_1463,1.51E-01
2016_1124_1138,6.57E-01
2016_1124_1139,5.20E-01
2016_1124_1143,6.17E-01
2016_1124_1151,6.23E-01
2016_1124_1153,7.38E-01
2016_1124_1160,5.46E-01
2016_1124_1163,6.52E-01
2016_1124_1167,8.08E-01
2016_1124_1173,5.64E-01
2016_1124_1181,5.71E-01
2016_1124_1192,9.89E-01
2016_1124_1195,8.42E-01
2016_1124_1201,4.63E-01
2016_1124_1211,6.70E-01
2016_1124_1214,5.26E-01
2016_1124_1218,8.59E-01
2016_1124_1221,9.64E-01
2016_1124_1231,3.75E-01
2016_1124_1233,9.54E-01
2016_1124_1234,3.20E-01
2016_1124_1235,5.73E-01
2016_1124_1242,3.13E-01
2016_1124_1246,5.30E-01
2016_1124_1268,6.03E-01
2016_1124_1274,4.72E-01
2016_1124_1276,4.66E-01
2016_1124_1277,2.08E-01
2016_1124_1292,7.13E-01
2016_1124_1314,8.57E-02
2016_1124_1320,6.61E-01
2016_1124_1323,6.42E-01
2016_1124_1328,3.96E-01
2016_1124_1332,4.53E-01
2016_1124_1333,7.12E-01
2016_1124_1338,5.59E-01
2016_1124_1344,7.32E-01
2016_1124_1345,2.73E-01
2016_1124_1355,7.75E-01
2016_1124_1371,7.54E-01
2016_1124_1372,7.90E-01
2016_1124_1380,9.07E-01
2016_1124_1386,5.23E-01
2016_1124_1392,8.59E-01
2016_1124_1393,6.83E-01
2016_1124_1396,4.84E-01
2016_1124_1400,4.97E-01
2016_1124_1401,4.92E-01
2016_1124_1403,7.02E-01
2016_1124_1409,7.73E-01
2016_1124_1421,8.01E-01
2016_1124_1423,8.39E-01
2016_1124_1425,4.97E-01
2016_1124_1428,6.37E-01
2016_1124_1433,6.46E-01
2016_1124_1435,6.56E-01
2016_1124_1437,5.20E-01
2016_1124_1438,4.25E-01
2016_1124_1451,8.48E-01
2016_1124_1452,1.35E-01
2016_1124_1453,5.02E-01
2016_1124_1455,6.73E-01
2016_1124_1458,6.53E-01
2016_1124_1462,1.42E-01
2016_1124_1463,8.27E-01
2016_1138_1139,1.37E-01
2016_1138_1143,3.42E-01
