Id,Pred
2016_1112_1114,8.96E-01
2016_1112_1122,9.74E-01
2016_1112_1124,6.66E-01
2016_1112_1138,8.45E-01
2016_1112_1139,5.78E-01
2016_1112_1143,7.98E-01
2016_1112_1151,8.77E-01
2016_1112_1153,4.42E-01
2016_1112_1160,5.35E-01
2016_1112_1163,5.93E-01
2016_1112_1167,8.47E-01
2016_1112_1173,8.55E-01
2016_1112_1181,1.74E-01
2016_1112_1192,9.45E-01
2016_1112_1195,6.75E-01
2016_1112_1201,6.91E-01
2016_1112_1211,7.35E-01
2016_1112_1214,7.72E-01
2016_1112_1218,8.55E-01
2016_1112_1221,9.41E-01
2016_1112_1231,4.44E-01
2016_1112_1233,8.42E-01
2016_1112_1234,1.77E-01
2016_1112_1235,2.78E-01
2016_1112_1242,1.43E-01
2016_1112_1246,2.21E-01
2016_1112_1268,6.31E-01
2016_1112_1274,3.25E-01
2016_1112_1276,7.52E-01
2016_1112_1277,1.71E-01
2016_1112_1292,8.68E-01
2016_1112_1314,9.75E-02
2016_1112_1320,9.69E-01
2016_1112_1323,4.14E-01
2016_1112_1328,2.16E-01
2016_1112_1332,3.13E-01
2016_1112_1333,7.21E-01
2016_1112_1338,7.12E-01
2016_1112_1344,7.03E-01
2016_1112_1345,2.58E-01
2016_1112_1355,8.31E-01
2016_1112_1371,7.27E-01
2016_1112_1372,9.42E-01
2016_1112_1380,9.73E-01
2016_1112_1386,6.50E-01
2016_1112_1392,9.01E-01
2016_1112_1393,8.15E-01
2016_1112_1396,6.68E-01
2016_1112_1400,7.00E-01
2016_1112_1401,4.58E-01
2016_1112_1403,8.23E-01
2016_1112_1409,7.41E-01
2016_1112_1421,9.17E-01
2016_1112_1423,7.19E-01
2016_1112_1425,3.90E-01
2016_1112_1428,7.78E-01
2016_1112_1433,6.78E-01
2016_1112_1435,5.87E-01
2016_1112_1437,2.78E-01
2016_1112_1438,3.43E-01
2016_1112_1451,9.63E-01
2016_1112_1452,4.66E-01
2016_1112_1453,5.35E-01
2016_1112_1455,8.27E-01
2016_1112_1458,8.46E-01
2016_1112_1462,3.14E-01
2016_1112_1463,9.34E-01
2016_1114_1122,7.61E-01
2016_1114_1124,5.00E-01
2016_1114_1138,7.18E-01
2016_1114_1139,4.90E-01
2016_1114_1143,3.25E-01
2016_1114_1151,3.99E-01
2016_1114_1153,4.27E-01
2016_1114_1160,4.78E-01
2016_1114_1163,3.17E-01
2016_1114_1167,4.25E-01
2016_1114_1173,4.56E-01
2016_1114_1181,2.70E-01
2016_1114_1192,7.26E-01
2016_1114_1195,7.65E-01
2016_1114_1201,6.69E-01
2016_1114_1211,3.63E-01
2016_1114_1214,4.11E-01
2016_1114_1218,2.77E-01
2016_1114_1221,8.67E-01
2016_1114_1231,3.03E-01
2016_1114_1233,8.44E-01
2016_1114_1234,1.33E-01
2016_1114_1235,1.89E-01
2016_1114_1242,1.93E-01
2016_1114_1246,2.80E-01
2016_1114_1268,2.01E-01
2016_1114_1274,2.30E-01
2016_1114_1276,3.36E-01
2016_1114_1277,1.43E-01
2016_1114_1292,7.50E-01
2016_1114_1314,1.94E-01
2016_1114_1320,6.29E-01
2016_1114_1323,4.15E-01
2016_1114_1328,1.25E-01
2016_1114_1332,2.90E-01
2016_1114_1333,6.37E-01
2016_1114_1338,4.91E-01
2016_1114_1344,4.80E-01
2016_1114_1345,1.43E-01
2016_1114_1355,4.33E-01
2016_1114_1371,4.42E-01
2016_1114_1372,5.22E-01
2016_1114_1380,5.43E-01
2016_1114_1386,3.11E-01
2016_1114_1392,3.36E-01
2016_1114_1393,4.61E-01
2016_1114_1396,7.62E-01
2016_1114_1400,6.24E-01
2016_1114_1401,3.11E-01
2016_1114_1403,4.54E-01
2016_1114_1409,4.18E-01
2016_1114_1421,6.73E-01
2016_1114_1423,6.83E-01
2016_1114_1425,2.93E-01
2016_1114_1428,3.15E-01
2016_1114_1433,5.49E-01
2016_1114_1435,3.74E-01
2016_1114_1437,1.06E-01
2016_1114_1438,1.94E-01
2016_1114_1451,5.34E-01
2016_1114_1452,3.76E-01
2016_1114_1453,5.56E-01
2016_1114_1455,4.82E-01
2016_1114_1458,5.29E-01
2016_1114_1462,2.03E-01
2016_1114_1463,5.49E-01
2016_1122_1124,3.11E-01
2016_1122_1138,4.75E-01
2016_1122_1139,3.20E-01
2016_1122_1143,3.39E-01
2016_1122_1151,3.01E-01
2016_1122_1153,3.40E-01
2016_1122_1160,1.64E-01
2016_1122_1163,2.17E-01
2016_1122_1167,3.14E-01
2016_1122_1173,3.25E-01
2016_1122_1181,2.39E-01
2016_1122_1192,5.76E-01
2016_1122_1195,5.35E-01
2016_1122_1201,5.57E-01
2016_1122_1211,2.20E-01
2016_1122_1214,2.96E-01
2016_1122_1218,1.92E-01
2016_1122_1221,8.07E-01
2016_1122_1231,2.17E-01
2016_1122_1233,7.59E-01
2016_1122_1234,8.84E-02
2016_1122_1235,6.29E-02
2016_1122_1242,1.29E-01
2016_1122_1246,1.93E-01
2016_1122_1268,1.29E-01
2016_1122_1274,1.47E-01
2016_1122_1276,2.79E-01
2016_1122_1277,1.13E-01
2016_1122_1292,6.90E-01
2016_1122_1314,5.47E-02
2016_1122_1320,6.62E-01
2016_1122_1323,3.47E-01
2016_1122_1328,6.81E-02
2016_1122_1332,1.56E-01
2016_1122_1333,6.26E-01
2016_1122_1338,2.69E-01
2016_1122_1344,2.84E-01
2016_1122_1345,9.45E-02
2016_1122_1355,4.26E-01
2016_1122_1371,2.55E-01
2016_1122_1372,3.43E-01
2016_1122_1380,3.66E-01
2016_1122_1386,1.82E-01
2016_1122_1392,2.40E-01
2016_1122_1393,5.45E-01
2016_1122_1396,7.01E-01
2016_1122_1400,6.31E-01
2016_1122_1401,2.31E-01
2016_1122_1403,5.08E-01
2016_1122_1409,4.03E-01
2016_1122_1421,3.71E-01
2016_1122_1423,6.53E-01
2016_1122_1425,1.72E-01
2016_1122_1428,3.31E-01
2016_1122_1433,4.61E-01
2016_1122_1435,4.19E-01
2016_1122_1437,9.72E-02
2016_1122_1438,1.86E-01
2016_1122_1451,4.18E-01
2016_1122_1452,2.77E-01
2016_1122_1453,2.37E-01
2016_1122_1455,4.45E-01
2016_1122_1458,5.90E-01
2016_1122_1462,9.97E-02
2016_1122_1463,3.99E-01
2016_1124_1138,8.74E-01
2016_1124_1139,6.34E-01
2016_1124_1143,6.15E-01
2016_1124_1151,7.82E-01
2016_1124_1153,5.14E-01
2016_1124_1160,4.58E-01
2016_1124_1163,5.85E-01
2016_1124_1167,5.56E-01
2016_1124_1173,5.63E-01
2016_1124_1181,2.22E-01
2016_1124_1192,9.00E-01
2016_1124_1195,6.90E-01
2016_1124_1201,5.93E-01
2016_1124_1211,5.33E-01
2016_1124_1214,8.83E-01
2016_1124_1218,6.90E-01
2016_1124_1221,9.30E-01
2016_1124_1231,5.01E-01
2016_1124_1233,8.11E-01
2016_1124_1234,1.41E-01
2016_1124_1235,2.62E-01
2016_1124_1242,1.20E-01
2016_1124_1246,2.38E-01
2016_1124_1268,3.44E-01
2016_1124_1274,1.45E-01
2016_1124_1276,2.83E-01
2016_1124_1277,1.33E-01
2016_1124_1292,8.63E-01
2016_1124_1314,6.38E-02
2016_1124_1320,8.69E-01
2016_1124_1323,2.89E-01
2016_1124_1328,2.43E-01
2016_1124_1332,2.81E-01
2016_1124_1333,3.68E-01
2016_1124_1338,4.60E-01
2016_1124_1344,3.20E-01
2016_1124_1345,1.99E-01
