Id,Pred
2016_1112_1114,8.13E-01
2016_1112_1122,8.67E-01
2016_1112_1124,5.99E-01
2016_1112_1138,8.20E-01
2016_1112_1139,6.07E-01
2016_1112_1143,5.78E-01
2016_1112_1151,6.55E-01
2016_1112_1153,5.70E-01
2016_1112_1160,6.52E-01
2016_1112_1163,6.13E-01
2016_1112_1167,5.70E-01
2016_1112_1173,5.84E-01
2016_1112_1181,5.50E-01
2016_1112_1192,8.44E-01
2016_1112_1195,8.14E-01
2016_1112_1201,6.63E-01
2016_1112_1211,5.59E-01
2016_1112_1214,8.35E-01
2016_1112_1218,6.58E-01
2016_1112_1221,8.79E-01
2016_1112_1231,5.53E-01
2016_1112_1233,7.52E-01
2016_1112_1234,5.17E-01
2016_1112_1235,5.67E-01
2016_1112_1242,4.33E-01
2016_1112_1246,4.90E-01
2016_1112_1268,4.94E-01
2016_1112_1274,4.82E-01
2016_1112_1276,6.43E-01
2016_1112_1277,4.19E-01
2016_1112_1292,7.95E-01
2016_1112_1314,5.46E-01
2016_1112_1320,7.64E-01
2016_1112_1323,5.99E-01
2016_1112_1328,4.92E-01
2016_1112_1332,5.33E-01
2016_1112_1333,5.82E-01
2016_1112_1338,5.87E-01
2016_1112_1344,6.25E-01
2016_1112_1345,5.37E-01
2016_1112_1355,7.28E-01
2016_1112_1371,6.84E-01
2016_1112_1372,7.08E-01
2016_1112_1380,7.41E-01
2016_1112_1386,5.66E-01
2016_1112_1392,5.95E-01
2016_1112_1393,5.94E-01
2016_1112_1396,7.01E-01
2016_1112_1400,5.96E-01
2016_1112_1401,5.63E-01
2016_1112_1403,6.65E-01
2016_1112_1409,6.52E-01
2016_1112_1421,7.33E-01
2016_1112_1423,7.16E-01
2016_1112_1425,6.09E-01
2016_1112_1428,6.28E-01
2016_1112_1433,6.05E-01
2016_1112_1435,5.93E-01
2016_1112_1437,4.81E-01
2016_1112_1438,5.55E-01
2016_1112_1451,8.27E-01
2016_1112_1452,5.49E-01
2016_1112_1453,7.61E-01
2016_1112_1455,5.67E-01
2016_1112_1458,6.64E-01
2016_1112_1462,4.55E-01
2016_1112_1463,7.00E-01
2016_1114_1122,4.86E-01
2016_1114_1124,1.32E-01
2016_1114_1138,3.35E-01
2016_1114_1139,1.50E-01
2016_1114_1143,1.27E-01
2016_1114_1151,2.65E-01
2016_1114_1153,1.04E-01
2016_1114_1160,2.59E-01
2016_1114_1163,1.18E-01
2016_1114_1167,2.73E-01
2016_1114_1173,1.99E-01
2016_1114_1181,1.64E-01
2016_1114_1192,5.51E-01
2016_1114_1195,3.66E-01
2016_1114_1201,3.19E-01
2016_1114_1211,1.63E-01
2016_1114_1214,4.02E-01
2016_1114_1218,2.13E-01
2016_1114_1221,6.09E-01
2016_1114_1231,2.31E-01
2016_1114_1233,2.49E-01
