Id,Pred
2016_1112_1114,9.11E-01
2016_1112_1122,9.10E-01
2016_1112_1124,7.79E-01
2016_1112_1138,8.70E-01
2016_1112_1139,8.00E-01
2016_1112_1143,7.90E-01
2016_1112_1151,7.87E-01
2016_1112_1153,8.02E-01
2016_1112_1160,7.93E-01
2016_1112_1163,8.07E-01
2016_1112_1167,7.67E-01
2016_1112_1173,7.56E-01
2016_1112_1181,7.50E-01
2016_1112_1192,9.14E-01
2016_1112_1195,9.02E-01
2016_1112_1201,8.63E-01
2016_1112_1211,7.71E-01
2016_1112_1214,9.03E-01
2016_1112_1218,8.43E-01
2016_1112_1221,9.21E-01
2016_1112_1231,7.32E-01
2016_1112_1233,8.87E-01
2016_1112_1234,7.45E-01
2016_1112_1235,7.63E-01
2016_1112_1242,6.05E-01
2016_1112_1246,7.19E-01
2016_1112_1268,6.77E-01
2016_1112_1274,6.93E-01
2016_1112_1276,8.07E-01
2016_1112_1277,6.88E-01
2016_1112_1292,8.66E-01
2016_1112_1314,7.22E-01
2016_1112_1320,8.65E-01
2016_1112_1323,8.32E-01
2016_1112_1328,6.70E-01
2016_1112_1332,7.14E-01
2016_1112_1333,8.09E-01
2016_1112_1338,8.10E-01
2016_1112_1344,7.95E-01
2016_1112_1345,7.28E-01
2016_1112_1355,8.42E-01
2016_1112_1371,8.19E-01
2016_1112_1372,8.39E-01
2016_1112_1380,9.04E-01
2016_1112_1386,7.55E-01
2016_1112_1392,8.15E-01
2016_1112_1393,8.16E-01
2016_1112_1396,8.38E-01
2016_1112_1400,7.92E-01
2016_1112_1401,7.64E-01
2016_1112_1403,8.02E-01
2016_1112_1409,8.29E-01
2016_1112_1421,8.87E-01
2016_1112_1423,8.39E-01
2016_1112_1425,7.74E-01
2016_1112_1428,8.19E-01
2016_1112_1433,8.32E-01
2016_1112_1435,7.99E-01
2016_1112_1437,6.63E-01
2016_1112_1438,7.21E-01
2016_1112_1451,8.92E-01
2016_1112_1452,7.08E-01
2016_1112_1453,8.70E-01
2016_1112_1455,8.15E-01
2016_1112_1458,8.28E-01
2016_1112_1462,6.34E-01
2016_1112_1463,8.23E-01
2016_1114_1122,7.34E-01
2016_1114_1124,2.51E-01
2016_1114_1138,4.40E-01
2016_1114_1139,2.73E-01
2016_1114_1143,2.69E-01
2016_1114_1151,2.66E-01
2016_1114_1153,2.80E-01
2016_1114_1160,2.63E-01
2016_1114_1163,2.86E-01
2016_1114_1167,2.38E-01
2016_1114_1173,2.27E-01
2016_1114_1181,2.30E-01
2016_1114_1192,7.72E-01
2016_1114_1195,6.62E-01
2016_1114_1201,4.13E-01
2016_1114_1211,2.41E-01
2016_1114_1214,6.41E-01
2016_1114_1218,3.29E-01
2016_1114_1221,8.36E-01
2016_1114_1231,2.12E-01
2016_1114_1233,5.19E-01
2016_1114_1234,2.23E-01
2016_1114_1235,2.37E-01
2016_1114_1242,1.71E-01
2016_1114_1246,2.07E-01
2016_1114_1268,1.86E-01
2016_1114_1274,1.92E-01
2016_1114_1276,2.81E-01
2016_1114_1277,1.96E-01
2016_1114_1292,4.10E-01
2016_1114_1314,2.09E-01
2016_1114_1320,4.29E-01
2016_1114_1323,3.22E-01
2016_1114_1328,1.88E-01
2016_1114_1332,2.10E-01
2016_1114_1333,2.87E-01
2016_1114_1338,2.89E-01
2016_1114_1344,2.67E-01
2016_1114_1345,2.06E-01
2016_1114_1355,3.52E-01
2016_1114_1371,2.93E-01
2016_1114_1372,3.24E-01
2016_1114_1380,6.44E-01
2016_1114_1386,2.25E-01
2016_1114_1392,2.87E-01
2016_1114_1393,2.92E-01
2016_1114_1396,3.40E-01
2016_1114_1400,2.60E-01
2016_1114_1401,2.30E-01
2016_1114_1403,2.71E-01
2016_1114_1409,3.16E-01
2016_1114_1421,5.17E-01
2016_1114_1423,3.40E-01
2016_1114_1425,2.42E-01
2016_1114_1428,2.95E-01
2016_1114_1433,3.21E-01
2016_1114_1435,2.65E-01
2016_1114_1437,1.77E-01
2016_1114_1438,2.03E-01
2016_1114_1451,5.66E-01
2016_1114_1452,1.90E-01
2016_1114_1453,4.73E-01
2016_1114_1455,2.83E-01
2016_1114_1458,3.17E-01
2016_1114_1462,1.73E-01
2016_1114_1463,2.93E-01
2016_1122_1124,2.33E-01
2016_1122_1138,4.11E-01
2016_1122_1139,2.49E-01
2016_1122_1143,2.47E-01
2016_1122_1151,2.44E-01
2016_1122_1153,2.53E-01
2016_1122_1160,2.42E-01
2016_1122_1163,2.58E-01
2016_1122_1167,2.20E-01
2016_1122_1173,2.11E-01
2016_1122_1181,2.15E-01
2016_1122_1192,7.61E-01
2016_1122_1195,6.38E-01
2016_1122_1201,3.82E-01
2016_1122_1211,2.23E-01
2016_1122_1214,6.14E-01
2016_1122_1218,3.02E-01
2016_1122_1221,8.33E-01
2016_1122_1231,2.00E-01
2016_1122_1233,4.84E-01
2016_1122_1234,2.07E-01
2016_1122_1235,2.21E-01
2016_1122_1242,1.62E-01
2016_1122_1246,1.94E-01
2016_1122_1268,1.73E-01
2016_1122_1274,1.80E-01
2016_1122_1276,2.57E-01
2016_1122_1277,1.86E-01
2016_1122_1292,3.79E-01
2016_1122_1314,1.97E-01
2016_1122_1320,3.96E-01
2016_1122_1323,3.04E-01
2016_1122_1328,1.78E-01
2016_1122_1332,1.96E-01
2016_1122_1333,2.61E-01
2016_1122_1338,2.64E-01
2016_1122_1344,2.44E-01
2016_1122_1345,1.90E-01
2016_1122_1355,3.22E-01
2016_1122_1371,2.70E-01
2016_1122_1372,2.98E-01
2016_1122_1380,6.20E-01
2016_1122_1386,2.08E-01
2016_1122_1392,2.64E-01
