Id,Pred
2016_1112_1114,9.33E-01
2016_1112_1122,9.23E-01
2016_1112_1124,5.52E-01
2016_1112_1138,8.88E-01
2016_1112_1139,7.40E-01
2016_1112_1143,5.57E-01
2016_1112_1151,5.63E-01
2016_1112_1153,5.95E-01
2016_1112_1160,6.91E-01
2016_1112_1163,7.56E-01
2016_1112_1167,4.40E-01
2016_1112_1173,5.49E-01
2016_1112_1181,6.53E-01
2016_1112_1192,8.86E-01
2016_1112_1195,9.04E-01
2016_1112_1201,8.12E-01
2016_1112_1211,6.95E-01
2016_1112_1214,8.80E-01
2016_1112_1218,7.66E-01
2016_1112_1221,8.87E-01
2016_1112_1231,7.34E-01
2016_1112_1233,9.09E-01
2016_1112_1234,5.53E-01
2016_1112_1235,6.32E-01
2016_1112_1242,4.46E-01
2016_1112_1246,5.50E-01
2016_1112_1268,5.02E-01
2016_1112_1274,4.99E-01
2016_1112_1276,7.29E-01
2016_1112_1277,4.44E-01
2016_1112_1292,8.54E-01
2016_1112_1314,4.77E-01
2016_1112_1320,8.73E-01
2016_1112_1323,6.22E-01
2016_1112_1328,5.19E-01
2016_1112_1332,5.44E-01
2016_1112_1333,7.80E-01
2016_1112_1338,6.47E-01
2016_1112_1344,7.14E-01
2016_1112_1345,6.16E-01
2016_1112_1355,8.41E-01
2016_1112_1371,7.75E-01
2016_1112_1372,7.03E-01
2016_1112_1380,8.60E-01
2016_1112_1386,5.65E-01
2016_1112_1392,5.45E-01
2016_1112_1393,7.62E-01
2016_1112_1396,7.21E-01
2016_1112_1400,7.01E-01
2016_1112_1401,6.66E-01
2016_1112_1403,6.83E-01
2016_1112_1409,8.36E-01
2016_1112_1421,8.75E-01
2016_1112_1423,7.97E-01
2016_1112_1425,6.79E-01
2016_1112_1428,8.33E-01
2016_1112_1433,8.30E-01
2016_1112_1435,8.17E-01
2016_1112_1437,4.61E-01
2016_1112_1438,5.58E-01
2016_1112_1451,8.58E-01
2016_1112_1452,5.78E-01
2016_1112_1453,8.18E-01
2016_1112_1455,8.04E-01
2016_1112_1458,7.97E-01
2016_1112_1462,5.03E-01
2016_1112_1463,6.84E-01
2016_1114_1122,5.37E-01
2016_1114_1124,1.19E-01
2016_1114_1138,3.54E-01
2016_1114_1139,1.14E-01
2016_1114_1143,1.34E-01
2016_1114_1151,1.10E-01
2016_1114_1153,1.11E-01
2016_1114_1160,1.27E-01
2016_1114_1163,1.21E-01
2016_1114_1167,6.31E-02
2016_1114_1173,8.32E-02
2016_1114_1181,6.31E-02
2016_1114_1192,4.91E-01
2016_1114_1195,3.91E-01
2016_1114_1201,2.15E-01
2016_1114_1211,1.07E-01
2016_1114_1214,4.40E-01
2016_1114_1218,1.55E-01
2016_1114_1221,5.62E-01
2016_1114_1231,7.71E-02
2016_1114_1233,3.55E-01
2016_1114_1234,5.12E-02
2016_1114_1235,7.52E-02
2016_1114_1242,4.30E-02
2016_1114_1246,8.67E-02
2016_1114_1268,5.70E-02
2016_1114_1274,4.66E-02
2016_1114_1276,8.67E-02
2016_1114_1277,3.62E-02
2016_1114_1292,2.54E-01
2016_1114_1314,3.77E-02
2016_1114_1320,2.35E-01
2016_1114_1323,8.73E-02
2016_1114_1328,3.81E-02
2016_1114_1332,6.89E-02
2016_1114_1333,1.09E-01
2016_1114_1338,1.42E-01
2016_1114_1344,8.38E-02
2016_1114_1345,7.28E-02
2016_1114_1355,2.05E-01
2016_1114_1371,1.73E-01
2016_1114_1372,2.07E-01
2016_1114_1380,4.16E-01
2016_1114_1386,7.11E-02
2016_1114_1392,1.53E-01
2016_1114_1393,1.03E-01
2016_1114_1396,9.69E-02
2016_1114_1400,9.35E-02
2016_1114_1401,5.48E-02
2016_1114_1403,1.60E-01
2016_1114_1409,1.37E-01
2016_1114_1421,4.02E-01
2016_1114_1423,1.53E-01
2016_1114_1425,9.59E-02
2016_1114_1428,1.62E-01
2016_1114_1433,1.22E-01
2016_1114_1435,1.55E-01
2016_1114_1437,3.38E-02
2016_1114_1438,5.42E-02
2016_1114_1451,3.86E-01
2016_1114_1452,6.02E-02
2016_1114_1453,3.08E-01
2016_1114_1455,1.06E-01
2016_1114_1458,1.41E-01
2016_1114_1462,4.86E-02
2016_1114_1463,1.78E-01
2016_1122_1124,1.02E-01
2016_1122_1138,3.23E-01
2016_1122_1139,9.02E-02
2016_1122_1143,1.24E-01
2016_1122_1151,1.04E-01
2016_1122_1153,8.07E-02
2016_1122_1160,1.37E-01
2016_1122_1163,1.17E-01
2016_1122_1167,5.95E-02
2016_1122_1173,8.35E-02
2016_1122_1181,5.71E-02
