Id,Pred
2016_1112_1114,9.20E-01
2016_1112_1122,9.50E-01
2016_1112_1124,7.28E-01
2016_1112_1138,8.47E-01
2016_1112_1139,7.17E-01
2016_1112_1143,7.09E-01
2016_1112_1151,7.58E-01
2016_1112_1153,5.85E-01
2016_1112_1160,6.52E-01
2016_1112_1163,7.19E-01
2016_1112_1167,6.85E-01
2016_1112_1173,7.27E-01
2016_1112_1181,4.80E-01
2016_1112_1192,9.48E-01
2016_1112_1195,8.83E-01
2016_1112_1201,7.87E-01
2016_1112_1211,6.70E-01
2016_1112_1214,8.48E-01
2016_1112_1218,7.76E-01
2016_1112_1221,9.75E-01
2016_1112_1231,5.33E-01
2016_1112_1233,8.47E-01
2016_1112_1234,3.84E-01
2016_1112_1235,4.14E-01
2016_1112_1242,3.37E-01
2016_1112_1246,4.34E-01
2016_1112_1268,5.79E-01
2016_1112_1274,5.52E-01
2016_1112_1276,7.44E-01
2016_1112_1277,3.32E-01
2016_1112_1292,8.35E-01
2016_1112_1314,2.53E-01
2016_1112_1320,9.55E-01
2016_1112_1323,7.75E-01
2016_1112_1328,3.81E-01
2016_1112_1332,5.11E-01
2016_1112_1333,7.53E-01
2016_1112_1338,7.49E-01
2016_1112_1344,6.43E-01
2016_1112_1345,4.71E-01
2016_1112_1355,8.44E-01
2016_1112_1371,7.64E-01
2016_1112_1372,7.50E-01
2016_1112_1380,9.48E-01
2016_1112_1386,5.09E-01
2016_1112_1392,6.91E-01
2016_1112_1393,7.99E-01
2016_1112_1396,6.90E-01
2016_1112_1400,7.23E-01
2016_1112_1401,5.66E-01
2016_1112_1403,8.23E-01
2016_1112_1409,8.08E-01
2016_1112_1421,9.17E-01
2016_1112_1423,7.14E-01
2016_1112_1425,4.64E-01
2016_1112_1428,7.79E-01
2016_1112_1433,6.49E-01
2016_1112_1435,7.48E-01
2016_1112_1437,4.06E-01
2016_1112_1438,6.14E-01
2016_1112_1451,9.48E-01
2016_1112_1452,4.68E-01
2016_1112_1453,7.14E-01
2016_1112_1455,6.93E-01
2016_1112_1458,8.54E-01
2016_1112_1462,3.09E-01
2016_1112_1463,7.53E-01
2016_1114_1122,6.53E-01
2016_1114_1124,1.69E-01
2016_1114_1138,1.90E-01
2016_1114_1139,8.11E-02
2016_1114_1143,1.25E-01
2016_1114_1151,1.22E-01
2016_1114_1153,7.60E-02
2016_1114_1160,9.26E-02
2016_1114_1163,9.73E-02
2016_1114_1167,1.50E-01
2016_1114_1173,1.49E-01
2016_1114_1181,4.01E-02
2016_1114_1192,4.44E-01
2016_1114_1195,3.28E-01
2016_1114_1201,1.08E-01
2016_1114_1211,5.87E-02
2016_1114_1214,2.37E-01
2016_1114_1218,1.04E-01
2016_1114_1221,7.46E-01
2016_1114_1231,7.28E-02
2016_1114_1233,2.11E-01
2016_1114_1234,3.64E-02
2016_1114_1235,3.85E-02
2016_1114_1242,4.64E-02
2016_1114_1246,4.58E-02
2016_1114_1268,9.12E-02
2016_1114_1274,7.44E-02
2016_1114_1276,1.50E-01
2016_1114_1277,5.39E-02
2016_1114_1292,1.52E-01
2016_1114_1314,2.65E-02
2016_1114_1320,2.49E-01
2016_1114_1323,1.54E-01
2016_1114_1328,3.31E-02
