Id,Pred
2016_1112_1114,9.69E-01
2016_1112_1122,9.81E-01
2016_1112_1124,6.02E-01
2016_1112_1138,8.34E-01
2016_1112_1139,5.69E-01
2016_1112_1143,7.24E-01
2016_1112_1151,7.70E-01
2016_1112_1153,5.71E-01
2016_1112_1160,6.19E-01
2016_1112_1163,6.92E-01
2016_1112_1167,6.44E-01
2016_1112_1173,7.30E-01
2016_1112_1181,4.70E-01
2016_1112_1192,9.68E-01
2016_1112_1195,9.05E-01
2016_1112_1201,7.02E-01
2016_1112_1211,5.93E-01
2016_1112_1214,8.91E-01
2016_1112_1218,8.14E-01
2016_1112_1221,9.93E-01
2016_1112_1231,4.89E-01
2016_1112_1233,8.57E-01
2016_1112_1234,3.96E-01
2016_1112_1235,3.88E-01
2016_1112_1242,3.11E-01
2016_1112_1246,3.73E-01
2016_1112_1268,5.67E-01
2016_1112_1274,5.40E-01
2016_1112_1276,7.78E-01
2016_1112_1277,2.84E-01
2016_1112_1292,8.49E-01
2016_1112_1314,1.66E-01
2016_1112_1320,9.64E-01
2016_1112_1323,7.21E-01
2016_1112_1328,3.42E-01
2016_1112_1332,4.51E-01
2016_1112_1333,7.26E-01
2016_1112_1338,6.82E-01
2016_1112_1344,6.25E-01
2016_1112_1345,3.89E-01
2016_1112_1355,8.33E-01
2016_1112_1371,6.98E-01
2016_1112_1372,7.43E-01
2016_1112_1380,9.46E-01
2016_1112_1386,4.88E-01
2016_1112_1392,6.71E-01
2016_1112_1393,8.35E-01
2016_1112_1396,7.06E-01
2016_1112_1400,7.34E-01
2016_1112_1401,5.08E-01
2016_1112_1403,8.09E-01
2016_1112_1409,8.06E-01
2016_1112_1421,8.95E-01
2016_1112_1423,6.65E-01
2016_1112_1425,4.37E-01
2016_1112_1428,7.80E-01
2016_1112_1433,5.91E-01
2016_1112_1435,7.00E-01
2016_1112_1437,3.94E-01
2016_1112_1438,6.74E-01
2016_1112_1451,9.78E-01
2016_1112_1452,3.10E-01
2016_1112_1453,6.02E-01
2016_1112_1455,6.25E-01
2016_1112_1458,8.78E-01
2016_1112_1462,2.46E-01
2016_1112_1463,7.93E-01
2016_1114_1122,6.27E-01
2016_1114_1124,4.58E-02
2016_1114_1138,1.37E-01
2016_1114_1139,4.02E-02
2016_1114_1143,7.67E-02
2016_1114_1151,9.59E-02
2016_1114_1153,4.05E-02
2016_1114_1160,4.90E-02
2016_1114_1163,6.64E-02
2016_1114_1167,5.43E-02
2016_1114_1173,7.90E-02
2016_1114_1181,2.74E-02
2016_1114_1192,4.86E-01
2016_1114_1195,2.32E-01
2016_1114_1201,6.95E-02
2016_1114_1211,4.42E-02
2016_1114_1214,2.05E-01
2016_1114_1218,1.22E-01
2016_1114_1221,8.25E-01
2016_1114_1231,2.95E-02
2016_1114_1233,1.60E-01
2016_1114_1234,2.04E-02
2016_1114_1235,1.97E-02
2016_1114_1242,1.41E-02
2016_1114_1246,1.86E-02
2016_1114_1268,3.99E-02
2016_1114_1274,3.59E-02
2016_1114_1276,1.00E-01
2016_1114_1277,1.24E-02
2016_1114_1292,1.51E-01
2016_1114_1314,6.29E-03
2016_1114_1320,4.63E-01
2016_1114_1323,7.56E-02
2016_1114_1328,1.62E-02
2016_1114_1332,2.54E-02
2016_1114_1333,7.76E-02
2016_1114_1338,6.36E-02
2016_1114_1344,5.03E-02
2016_1114_1345,1.98E-02
2016_1114_1355,1.37E-01
2016_1114_1371,6.83E-02
2016_1114_1372,8.39E-02
2016_1114_1380,3.57E-01
2016_1114_1386,2.93E-02
2016_1114_1392,6.08E-02
2016_1114_1393,1.38E-01
2016_1114_1396,7.08E-02
2016_1114_1400,8.04E-02
2016_1114_1401,3.17E-02
2016_1114_1403,1.18E-01
2016_1114_1409,1.16E-01
2016_1114_1421,2.12E-01
2016_1114_1423,5.93E-02
2016_1114_1425,2.40E-02
2016_1114_1428,1.01E-01
2016_1114_1433,4.39E-02
2016_1114_1435,6.90E-02
2016_1114_1437,2.02E-02
2016_1114_1438,6.16E-02
2016_1114_1451,5.89E-01
2016_1114_1452,1.41E-02
2016_1114_1453,4.58E-02
2016_1114_1455,5.03E-02
2016_1114_1458,1.85E-01
2016_1114_1462,1.02E-02
2016_1114_1463,1.08E-01
2016_1122_1124,2.78E-02
2016_1122_1138,8.65E-02
2016_1122_1139,2.43E-02
2016_1122_1143,4.71E-02
2016_1122_1151,5.94E-02
2016_1122_1153,2.45E-02
2016_1122_1160,2.98E-02
2016_1122_1163,4.06E-02
2016_1122_1167,3.31E-02
2016_1122_1173,4.86E-02
2016_1122_1181,1.65E-02
2016_1122_1192,3.60E-01
2016_1122_1195,1.53E-01
2016_1122_1201,4.26E-02
2016_1122_1211,2.68E-02
2016_1122_1214,1.33E-01
2016_1122_1218,7.64E-02
2016_1122_1221,7.37E-01
2016_1122_1231,1.78E-02
2016_1122_1233,1.02E-01
2016_1122_1234,1.22E-02
2016_1122_1235,1.18E-02
2016_1122_1242,8.46E-03
2016_1122_1246,1.11E-02
2016_1122_1268,2.42E-02
2016_1122_1274,2.17E-02
2016_1122_1276,6.21E-02
2016_1122_1277,7.44E-03
2016_1122_1292,9.60E-02
2016_1122_1314,3.75E-03
2016_1122_1320,3.39E-01
2016_1122_1323,4.64E-02
2016_1122_1328,9.73E-03
2016_1122_1332,1.53E-02
2016_1122_1333,4.77E-02
2016_1122_1338,3.89E-02
2016_1122_1344,3.05E-02
2016_1122_1345,1.19E-02
2016_1122_1355,8.61E-02
2016_1122_1371,4.18E-02
2016_1122_1372,5.17E-02
2016_1122_1380,2.48E-01
2016_1122_1386,1.76E-02
2016_1122_1392,3.71E-02
2016_1122_1393,8.71E-02
2016_1122_1396,4.34E-02
2016_1122_1400,4.95E-02
2016_1122_1401,1.91E-02
2016_1122_1403,7.41E-02
2016_1122_1409,7.27E-02
2016_1122_1421,1.38E-01
2016_1122_1423,3.62E-02
2016_1122_1425,1.44E-02
2016_1122_1428,6.27E-02
2016_1122_1433,2.66E-02
2016_1122_1435,4.22E-02
2016_1122_1437,1.21E-02
2016_1122_1438,3.76E-02
2016_1122_1451,4.60E-01
2016_1122_1452,8.42E-03
2016_1122_1453,2.78E-02
2016_1122_1455,3.05E-02
2016_1122_1458,1.19E-01
2016_1122_1462,6.12E-03
2016_1122_1463,6.73E-02
2016_1124_1138,7.68E-01
2016_1124_1139,4.66E-01
2016_1124_1143,6.34E-01
2016_1124_1151,6.89E-01
2016_1124_1153,4.68E-01
2016_1124_1160,5.18E-01
2016_1124_1163,5.97E-01
2016_1124_1167,5.45E-01
2016_1124_1173,6.42E-01
2016_1124_1181,3.70E-01
2016_1124_1192,9.52E-01
2016_1124_1195,8.63E-01
2016_1124_1201,6.09E-01
2016_1124_1211,4.91E-01
2016_1124_1214,8.43E-01
2016_1124_1218,7.43E-01
2016_1124_1221,9.90E-01
2016_1124_1231,3.88E-01
2016_1124_1233,7.99E-01
2016_1124_1234,3.03E-01
2016_1124_1235,2.95E-01
2016_1124_1242,2.30E-01
2016_1124_1246,2.83E-01
2016_1124_1268,4.65E-01
2016_1124_1274,4.37E-01
2016_1124_1276,6.99E-01
2016_1124_1277,2.08E-01
2016_1124_1292,7.88E-01
2016_1124_1314,1.17E-01
2016_1124_1320,9.47E-01
2016_1124_1323,6.30E-01
2016_1124_1328,2.56E-01
2016_1124_1332,3.52E-01
2016_1124_1333,6.37E-01
2016_1124_1338,5.86E-01
2016_1124_1344,5.25E-01
2016_1124_1345,2.97E-01
2016_1124_1355,7.68E-01
2016_1124_1371,6.05E-01
2016_1124_1372,6.56E-01
2016_1124_1380,9.21E-01
2016_1124_1386,3.86E-01
2016_1124_1392,5.75E-01
2016_1124_1393,7.70E-01
2016_1124_1396,6.14E-01
2016_1124_1400,6.46E-01
2016_1124_1401,4.06E-01
2016_1124_1403,7.37E-01
2016_1124_1409,7.33E-01
2016_1124_1421,8.49E-01
2016_1124_1423,5.68E-01
2016_1124_1425,3.39E-01
2016_1124_1428,7.01E-01
2016_1124_1433,4.89E-01
2016_1124_1435,6.07E-01
2016_1124_1437,3.01E-01
2016_1124_1438,5.78E-01
2016_1124_1451,9.68E-01
2016_1124_1452,2.29E-01
2016_1124_1453,5.00E-01
2016_1124_1455,5.25E-01
2016_1124_1458,8.26E-01
2016_1124_1462,1.77E-01
2016_1124_1463,7.16E-01
2016_1138_1139,2.09E-01
2016_1138_1143,3.43E-01
2016_1138_1151,4.00E-01
2016_1138_1153,2.10E-01
2016_1138_1160,2.45E-01
2016_1138_1163,3.09E-01
2016_1138_1167,2.66E-01
2016_1138_1173,3.51E-01
2016_1138_1181,1.50E-01
2016_1138_1192,8.56E-01
2016_1138_1195,6.56E-01
2016_1138_1201,3.20E-01
2016_1138_1211,2.25E-01
2016_1138_1214,6.19E-01
2016_1138_1218,4.66E-01
2016_1138_1221,9.67E-01
2016_1138_1231,1.60E-01
2016_1138_1233,5.45E-01
2016_1138_1234,1.16E-01
2016_1138_1235,1.12E-01
2016_1138_1242,8.27E-02
2016_1138_1246,1.06E-01
2016_1138_1268,2.07E-01
2016_1138_1274,1.90E-01
2016_1138_1276,4.12E-01
2016_1138_1277,7.34E-02
2016_1138_1292,5.29E-01
2016_1138_1314,3.83E-02
2016_1138_1320,8.44E-01
2016_1138_1323,3.40E-01
2016_1138_1328,9.40E-02
2016_1138_1332,1.41E-01
2016_1138_1333,3.46E-01
2016_1138_1338,2.99E-01
2016_1138_1344,2.50E-01
