Id,Pred
2016_1112_1114,9.23E-01
2016_1112_1122,9.27E-01
2016_1112_1124,7.21E-01
2016_1112_1138,9.17E-01
2016_1112_1139,6.81E-01
2016_1112_1143,7.91E-01
2016_1112_1151,8.66E-01
2016_1112_1153,6.19E-01
2016_1112_1160,8.45E-01
2016_1112_1163,6.12E-01
2016_1112_1167,7.94E-01
2016_1112_1173,5.63E-01
2016_1112_1181,4.79E-01
2016_1112_1192,9.13E-01
2016_1112_1195,9.17E-01
2016_1112_1201,9.08E-01
2016_1112_1211,6.75E-01
2016_1112_1214,8.85E-01
2016_1112_1218,7.76E-01
2016_1112_1221,9.19E-01
2016_1112_1231,6.47E-01
2016_1112_1233,8.94E-01
2016_1112_1234,4.03E-01
2016_1112_1235,4.49E-01
2016_1112_1242,2.56E-01
2016_1112_1246,3.96E-01
2016_1112_1268,3.57E-01
2016_1112_1274,3.92E-01
2016_1112_1276,6.60E-01
2016_1112_1277,4.28E-01
2016_1112_1292,9.04E-01
2016_1112_1314,4.49E-01
2016_1112_1320,8.36E-01
2016_1112_1323,5.97E-01
2016_1112_1328,2.60E-01
2016_1112_1332,4.19E-01
2016_1112_1333,8.46E-01
2016_1112_1338,8.18E-01
2016_1112_1344,7.87E-01
2016_1112_1345,5.37E-01
2016_1112_1355,8.95E-01
2016_1112_1371,7.19E-01
2016_1112_1372,8.46E-01
2016_1112_1380,9.09E-01
2016_1112_1386,4.81E-01
2016_1112_1392,7.01E-01
2016_1112_1393,7.23E-01
2016_1112_1396,7.85E-01
2016_1112_1400,6.90E-01
2016_1112_1401,6.72E-01
2016_1112_1403,7.80E-01
2016_1112_1409,7.83E-01
2016_1112_1421,9.09E-01
2016_1112_1423,8.59E-01
2016_1112_1425,5.34E-01
2016_1112_1428,6.98E-01
2016_1112_1433,6.97E-01
2016_1112_1435,6.18E-01
2016_1112_1437,3.01E-01
2016_1112_1438,5.13E-01
2016_1112_1451,8.97E-01
2016_1112_1452,5.43E-01
2016_1112_1453,9.07E-01
2016_1112_1455,5.94E-01
2016_1112_1458,7.45E-01
2016_1112_1462,3.67E-01
2016_1112_1463,7.89E-01
2016_1114_1122,6.62E-01
2016_1114_1124,1.03E-01
2016_1114_1138,1.65E-01
2016_1114_1139,1.03E-01
2016_1114_1143,8.51E-02
2016_1114_1151,9.64E-02
2016_1114_1153,9.22E-02
2016_1114_1160,8.92E-02
2016_1114_1163,9.51E-02
2016_1114_1167,1.07E-01
2016_1114_1173,8.50E-02
2016_1114_1181,9.86E-02
2016_1114_1192,7.46E-01
2016_1114_1195,2.62E-01
2016_1114_1201,9.79E-02
2016_1114_1211,8.43E-02
2016_1114_1214,3.78E-01
2016_1114_1218,1.12E-01
2016_1114_1221,8.47E-01
2016_1114_1231,8.60E-02
2016_1114_1233,1.13E-01
2016_1114_1234,8.88E-02
2016_1114_1235,9.17E-02
2016_1114_1242,8.37E-02
2016_1114_1246,8.76E-02
2016_1114_1268,8.77E-02
2016_1114_1274,9.62E-02
2016_1114_1276,1.05E-01
2016_1114_1277,8.10E-02
2016_1114_1292,9.42E-02
2016_1114_1314,8.28E-02
2016_1114_1320,1.32E-01
2016_1114_1323,1.24E-01
2016_1114_1328,8.38E-02
2016_1114_1332,9.39E-02
2016_1114_1333,1.01E-01
2016_1114_1338,1.12E-01
2016_1114_1344,9.69E-02
2016_1114_1345,8.23E-02
2016_1114_1355,9.50E-02
2016_1114_1371,9.45E-02
2016_1114_1372,9.90E-02
2016_1114_1380,2.87E-01
2016_1114_1386,8.15E-02
2016_1114_1392,8.58E-02
2016_1114_1393,1.15E-01
2016_1114_1396,9.92E-02
2016_1114_1400,1.08E-01
2016_1114_1401,9.33E-02
2016_1114_1403,1.12E-01
2016_1114_1409,1.09E-01
2016_1114_1421,1.58E-01
2016_1114_1423,8.61E-02
2016_1114_1425,8.58E-02
2016_1114_1428,9.23E-02
2016_1114_1433,8.87E-02
2016_1114_1435,9.64E-02
2016_1114_1437,9.30E-02
2016_1114_1438,1.19E-01
2016_1114_1451,1.28E-01
2016_1114_1452,9.24E-02
2016_1114_1453,1.11E-01
2016_1114_1455,9.48E-02
2016_1114_1458,1.18E-01
2016_1114_1462,8.48E-02
2016_1114_1463,1.02E-01
2016_1122_1124,1.11E-01
2016_1122_1138,1.60E-01
2016_1122_1139,1.08E-01
2016_1122_1143,8.85E-02
2016_1122_1151,1.01E-01
2016_1122_1153,1.09E-01
2016_1122_1160,9.95E-02
2016_1122_1163,1.16E-01
2016_1122_1167,1.17E-01
2016_1122_1173,8.74E-02
2016_1122_1181,1.07E-01
2016_1122_1192,7.56E-01
2016_1122_1195,3.20E-01
2016_1122_1201,1.10E-01
2016_1122_1211,9.63E-02
2016_1122_1214,4.17E-01
2016_1122_1218,1.34E-01
2016_1122_1221,8.19E-01
2016_1122_1231,1.00E-01
2016_1122_1233,1.50E-01
2016_1122_1234,1.05E-01
2016_1122_1235,1.01E-01
2016_1122_1242,9.39E-02
2016_1122_1246,9.14E-02
2016_1122_1268,9.77E-02
2016_1122_1274,1.01E-01
2016_1122_1276,1.07E-01
2016_1122_1277,9.28E-02
2016_1122_1292,1.15E-01
2016_1122_1314,9.45E-02
2016_1122_1320,1.33E-01
2016_1122_1323,1.15E-01
2016_1122_1328,9.21E-02
2016_1122_1332,1.02E-01
2016_1122_1333,1.20E-01
2016_1122_1338,1.22E-01
2016_1122_1344,1.11E-01
2016_1122_1345,9.84E-02
2016_1122_1355,1.08E-01
2016_1122_1371,1.09E-01
2016_1122_1372,1.33E-01
2016_1122_1380,3.11E-01
2016_1122_1386,8.93E-02
2016_1122_1392,9.94E-02
2016_1122_1393,1.19E-01
2016_1122_1396,1.04E-01
2016_1122_1400,1.12E-01
2016_1122_1401,1.12E-01
2016_1122_1403,1.18E-01
2016_1122_1409,1.20E-01
2016_1122_1421,1.82E-01
2016_1122_1423,1.04E-01
2016_1122_1425,9.74E-02
2016_1122_1428,1.10E-01
2016_1122_1433,1.04E-01
2016_1122_1435,1.08E-01
2016_1122_1437,1.02E-01
2016_1122_1438,1.23E-01
2016_1122_1451,1.57E-01
2016_1122_1452,1.10E-01
2016_1122_1453,1.11E-01
2016_1122_1455,1.09E-01
2016_1122_1458,1.32E-01
2016_1122_1462,9.10E-02
2016_1122_1463,1.25E-01
2016_1124_1138,9.09E-01
2016_1124_1139,5.01E-01
2016_1124_1143,7.18E-01
2016_1124_1151,8.31E-01
2016_1124_1153,4.46E-01
2016_1124_1160,7.02E-01
2016_1124_1163,5.15E-01
